IDENTITE_OPERATEUR;CODE_OPERATEUR;SIRET_ACTEUR;RCS_ACTEUR;ADRESSE_COMPLETE_ACTEUR;BESOIN_RES_NUM;DATE_DECLARATION_OPERATEUR
Paritel operateur;PAOP;34316377000898;Nanterre;LE COLOMBIA 60 AVENUE DE L EUROPE  92270 BOIS-COLOMBES   ;1;16/03/2011 00:00
Partenaire solution numérique;PASN;87851750700017;Paris; 111 AVENUE VICTOR HUGO  75116 PARIS   ;0;04/05/2023 00:00
Partner informatique;PRIE;33936266700042;Mâcon; 49 RUE AMBROISE PARE  71850 CHARNAY-LES-MACON   ;0;13/07/2020 00:00
Partners solution informatique;PASI;44847818000061;Nancy;NANCY PORTE SUD 22 ALLE DES PEUPLIERS  54180 HEILLECOURT   ;0;03/07/2017 00:00
Passeron Christian;MCNE; ;92P03725Monaco;LE RUSCINO, BLOC F 14 QUAI ANTOINE 1ER  98000 MONACO   MONACO;1;09/02/2017 00:00
Pausecom;PSCM;92070172900013;Paris; 11 RUE DE MAGDEBOURG  75116 PARIS   ;1;07/11/2022 00:00
PC doctor maintenance & conseil;PCDC;48481146800020;Bobigny; 11 AVENUE PAUL DOUMER  93460 GOURNAY SUR MARNE   ;0;12/02/2016 00:00
PCCW GLOBAL B.V.;PCCW;50855605700059;Paris; 5 BOULEVARD DE LA MADELEINE  75001 PARIS   ;0;17/03/2011 00:00
Peoplefone AG;PEOP; ;CHE-112.382.720; 107 ALBISSTRASSE   8038 ZURICH   SUISSE;0;18/10/2018 00:00
Peoplefone SAS;POFN;84949739100011;Nanterre; 144 AVENUE CHARLES DE GAULLE  92200 NEUILLY-SUR-SEINE   ;0;11/04/2019 00:00
Perfectys;PERF;40986731400034;NIMES; 1601 ROUTE DE NIMES  30560 SAINT-HILAIRE-DE-BRETHMAS   ;0;02/12/2013 00:00
Performance;PRFO;52254018600023;ROANNE; 13 RUE DES NAVETTES  42190 CHARLIEU   ;0;19/07/2021 00:00
Performance telecom;PRFT;52216601600017;Lorient; LD LE MENEC  56340 CARNAC   ;0;30/03/2022 00:00
Phenix partner;PHNX;90006984000016;Bobigny;BAT. A 41 RUE DELIZY  93500 PANTIN   ;0;17/02/2022 00:00
Phenix trade international;PHTI;42507351700079;Charenton Le Pont; 2 RUE JEAN-BAPTISTE MARTY  94220 CHARENTON-LE-PONT   ;0;29/04/2015 00:00
Phibee telecom;GRPH;53750702200011;SAINT-ETIENNE; 1415C ROUTE DE COMBERIGOL  42320 LA GRAND-CROIX   ;1;18/01/2016 00:00
Phone & Tic;PHTC;88225893200012;Le Havre; 14-16 RUE DES CARAQUES  76700 HARFLEUR   ;0;12/03/2020 00:00
Phone.GS;PHGS;81100388800021;Pontoise; 41 AVENUE DU 8 MAI 1945  95200 SARCELLES   ;1;16/02/2017 00:00
Phonely;PHNL;95216373100013;Paris; 15 RUE DES HALLES  75001 PARIS   ;0;27/06/2023 00:00
Phosphore services informatiques;PHSI;47804486000011;Nimes; 8 RUE DES TAMARIS BP 50930 30900 NIMES   ;0;19/02/2015 00:00
Pible;PBLE;83348030400017;Saint-Etienne; 51 RUE DE LA REPUBLIQUE  42500 LE CHAMBON FEUGEROLLES   ;0;22/06/2020 00:00
PICARD Franck;ADDI;78946349400011;Bourg en Bresse; 149 RUE DE TRELACOUR  01150 LAGNIEU   ;0;15/12/2022 00:00
Pictures on line;PIOL;35335931800014;Paris; 93 RUE DE VAUGIRARD  75006 PARIS   ;1;13/01/2005 00:00
PIXTEL;PIXT;35307814000038;Paris; 140 AVENUE DES CHAMPS-ELYSEES  750008 PARIS   ;1;14/04/2005 00:00
Plug and tel;PLUG;48028466000044;Versailles; 8 RUE DES CHAMPS ODES  78200 BUCHELAY   ;1;12/05/2006 00:00
Pluriware;TEHO;45297126000040;Saint-Pierre; 6 RUE DES SALINES  97427 ETANG SALE LES BAINS   ;0;18/10/2016 00:00
POD TECHNOLOGIES;PODT;52015732200030;LIMOGES; 16 RUE FREDERIC BASTIAT  87280 LIMOGES   ;0;28/11/2012 00:00
POITOU-CHARENTES TELECOM;POTO;79445574100015;POITIERS;C/O MTI 144 RUE DE LA GRANGE SAINT PIERRE  86000 POITIERS   ;0;02/08/2013 00:00
POM T;POMT;52794474800013;Nanterre; 73 RUE DU CHATEAU  92100 BOULOGNE BILLANCOURT   ;1;24/11/2010 00:00
Pomme Télécom ;POTE;88047486100015;Montauban;CHEZ BRUNO CARANTON 730 CHEMIN DE LASSALLE  82000 MONTAUBAN   ;0;26/02/2020 00:00
Power iti;POWT;89417707000014;Avignon; 771 AVENUE MARC LEPOUTRE  84700 SORGUES   ;0;20/12/2022 00:00
Power Link;PWLK;54004336100018;LYON; 5 PLACE CHARLES BERAUDIER  69003 LYON   ;1;26/04/2017 00:00
Premiere conferencing (Ireland) limited;PCIL; ;Nº 350634 AU REGISTRE DE DUBLIN; UNIT E WEST CORK TECHNOLOGY PARK   P85 R250 CLONAKILTY   IRLANDE;0;15/07/2019 00:00
Premium network service;PRMN;90207317000026;Paris; 19 RUE AGUSTE CHABRIERES  75015 PARIS   ;0;06/01/2023 00:00
PREMIUM TELECOM;PREM;51349685100017;Nanterre; 54 RUE DU POINT DU JOUR  92100 BOULOGNE BILLANCOURT   ;0;05/10/2010 00:00
Priism;PRSM;79999389400010;Roanne; 27 RUE LUCIEN LANGENIEUX  42300 ROANNE   ;0;27/09/2021 00:00
Prime creation events;PRCR;82037173000012;Laval; 16 RUE DE L ABBE PIERRE  53120 GORRON   ;0;23/12/2020 00:00
Print tech;PRCH;53878411700037;Versailles;IMMEUBLE AKSIONE - BATIMENT B 20 RUE DES PIQUETTES  78200 BUCHELAY   ;0;26/03/2019 00:00
Prismatel;PRMT;45343033200032;Pontoise; 1 RUE LENOTRE BP 30630 95196 GOUSSAINVILLE  CEDEX ;0;16/05/2019 00:00
Prixtel;PRIX;45179984500081;Aix; 11 COURS GAMBETTA  13100 AIX-EN-PROVENCE   ;1;02/01/2008 00:00
Pro ivr;PROI;83430586400011;Nice; 4 BOULEVARD SAINT ROCH  06300 NICE   ;1;16/01/2018 00:00
Pro système informatique;PRSE;49244369200016;LA ROCHE SUR YON;LA GAUVARDIERE 1 ALLEE DU CARIGNON  85710 LA GARNACHE   ;0;08/03/2018 00:00
Prodige's;PROD;32626086600024;Paris; 51 RUE DE PRONY  75017 PARIS   ;1;31/12/2004 00:00
PRODWARE;PRWA;35233596200044;PARIS; 45 QUAI DE SEINE  75019 PARIS   ;0;16/03/2012 00:00
Profficium;PRFF;88027223200021;Melun;10-12 IMMEUBLE CARRE HAUSSMANN II 10 ALLÉE DE LA CONNAISSANCE  77127 LIEUSAINT   ;0;27/09/2022 00:00
Progetel;PTEL;48806571500044;Lyon; 20 CHEMIN LOUIS CHIRPAZ  69130 ECULLY   ;0;24/06/2019 00:00
Projet 3.3;PJ33;84433256900012;Rouen; 6 RUE ANDREI SAKHAROV  76130 MONT SAINT AIGNAN   ;0;02/11/2022 00:00
Prosoluce;PRSO;49935771300027;Toulouse; ROUTE DE CABANAC  31160 ENCAUSSE-LES-THERMES   ;1;06/05/2009 00:00
Provectio;PRTO;47786555400091;Rennes; 6 ALLEE ADOLPHE BOBIERRE  35000 RENNES   ;1;20/06/2017 00:00
Provence Alpes ConnecT;PACT;81800974800018;Evreux; 9200 VOIE DES CLOUETS  27100 VAL-DE-REUIL   ;0;03/02/2016 00:00
Provence telecom;PRTE;42189563200022;Avignon; 25B AVENUE DE FONTCOUVERTE  84000 AVIGNON   ;0;31/08/2017 00:00
Provya;PRYA;52760960600027;Saint-Quentin; 14 RUE DE LA LAITERIE  02170 BARZY-EN-THIERACHE   ;0;19/02/2015 00:00
Proxima;PRMA;52783068100047;Toulouse;ZONE DES CHAMPS PINSONS 12 BOULEVARD DU LIBRE ECHANGE  31650 SAINT-ORENS-DE-GAMEVILLE   ;0;11/07/2019 00:00
Proxima office;PRXA;82383789300028;Melun;BAT. 2 - FOND DE COUR 10 RUE DU GENERAL LECLERC  77170 BRIE COMTE ROBERT   ;0;01/12/2021 00:00
Proxitel conseil;PROXI;52121097100029;Avignon; 546 RUE BARUCH DE SPINOZA  84911 AVIGNON   ;0;03/04/2017 00:00
Proxy telecom;PRTL;45025613600034;Nevers; 53 RUE ALBERT CAMUS  58000 NEVERS   ;0;04/02/2022 00:00
Proxytel;PXYT;91418787700016;Epinal; 21 RUE DES CITES JACQUARD  88150 THAON LES VOSGES   ;0;11/02/2023 00:00
PS Mobile Access;DGLP;39094442900062;Aix-en-Provence;PARC DE LA DURANNE - DOMAINE DU TOURIL 350 RUE DENIS PAPIN  13100 AIX-EN-PROVENCE   ;1;08/06/2020 00:00
PSM Grand Est;PSMG;90202159100026;Metz; 9 RUE AIME CESAIRE  57525 TALANGE   ;0;04/01/2023 00:00
Pure IP Limited;PURE; ;5024088 Registered in England and Wales;5TH FLOOR 89 ALBERT EMBANKMENT   SE1 7TP LONDRES   ROYAUME-UNI;1;17/03/2017 00:00
Qovoltis;QVLT;85342003200015;Nanterre; 2 A RUE DANTON  92120 MONTROUGE   ;1;29/05/2020 00:00
Qualiconnect;QULC;90799755500012;Paris; 168 RUE DE GRENELLE  75007 PARIS   ;0;12/12/2021 00:00
Quality telecom S.L.;QUTE; ;ESB83253682;2 PLANTA OFICINA 2 21 AVENIDA DE CORDOBA  28026 MADRID   ESPAGNE;0;22/01/2019 00:00
Quantic telecom;QUAN;80279846200015;Rouen; 447 COTE SAINT WAAST  76690 CLERES   ;0;13/06/2014 00:00
QuestNet GmbH;QSNT; ;HRB 8251 CB; BYHLENER STRASSE 1  D-03044 COTTBUS   ALLEMAGNE;0;19/02/2021 00:00
Quetzal network;QUNE;43845246800012;Toulouse; ZONE INDUSTRIELLE ESTARAC  31360 BOUSSENS   ;0;03/10/2019 00:00
Quiddem;QUID;52816116900024;Montpellier; 125 RUE GILLES MARTINET  34070 MONTPELLIER   ;0;18/01/2019 00:00
Quimper communauté télécom;QCT;49212021700020;Quimper; 2 RUE FELIX LE DANTEC  29000 QUIMPER   ;1;19/02/2007 00:00
Quinze seize consulting;1516;83519777300012;Orléans; 2BIS IMPASSE DU CHATEAU GAILLARD  45000 ORLEANS LOIRET  ;0;21/07/2021 00:00
Qwalikom;QWLK;92258918900013;Rosny-sous-bois; 4 PLACE CARNOT  93110 ROSNY SOUS BOIS   ;1;13/01/2023 00:00
R2A informatique;R2AI;82537761700014;Grenoble; 12 CHEMIN DE LA CORVA  38530 PONTCHARRA   ;0;01/04/2019 00:00
Rapide internet;RPDN;84014489300012;Tours; 14 RUE DES ROCHES  37320 CORMERY   ;0;25/05/2020 00:00
REBTEL SERVICES SARL;REB; ;Luxembourg B115140; 9A BOULEVARD PRINCE HENRI  L-1724 LUXEMBOURG   LUXEMBOURG;0;27/11/2006 00:00
Red matter Limited;REDM; ;06968219 in Register of Company House (UK); 12-16 ADDISCOMBE ROAD  CR0 0XT CROYDON   ROYAUME-UNI;1;30/08/2022 00:00
Refa;REFA;97842524700019;Salon-de-Provence;AMONBURO 98 BOULEVARD DE L EUROPE  13127 VITROLLES   ;0;08/09/2023 00:00
Régie autonome des transports parisiens;RATP;77566343801906;Paris; 54 QUAI DE LA RAPEE  75599 PARIS  CEDEX 12 ;0;07/09/2009 00:00
REGIE COMMUNALE DU CABLE ET D'ELECTRICITE DE MONTATAIRE;RCCE;34350278700017;Arrêté munipale MONTATAIRE; 1 RUE ROMAIN ROLLAND  60160 MONTATAIRE   ;0;16/09/2010 00:00
REGIE DE TELEVIDEOCOMMUNICATION;RTVC; ;Sous-préfecture de Forbach le 12/02/1993; MAIRIE BP 10151 57351 STIRING WENDEL  CEDEX ;0;19/06/2007 00:00
REGIE D'ELECTRICITE DE SCHOENECK;SCHO; ;crée le 12 juin 1933; AU PARC  57350 STIRING-WENDEL   ;0;25/06/2009 00:00
REGIE D'ELECTRICITE ET DU CABLE D'ELBEUF;RECE; ;Crée par Conseil Municipal du 17/12/1992; 1 RUE DU 1ER MAI  76503 ELBEUF  CEDEX ;0;03/06/2005 00:00
REGIE INTERCOMMUNALE DE VIDEOCOMMUNICATIONS DU PAYS HAUT (RIV 54);RIVH; ;6586; 5 GRANDE RUE  54650 SAULNES   ;0;15/10/2010 00:00
Régie intercommunale du réseau câble du Haut-Sundgau;RCHS;43751940800011;Colmar; 38 RUE DU CHÂTEAU  68480 FERRETTE   ;0;22/09/2006 00:00
Régie municipale d'électricité de Creutzwald;RMEC; ;Cons. municip 13/03/1927; 132 RUE DE LA HOUVE BP 80080 57150 CREUTZWALD   ;0;12/11/2007 00:00
REGIE MUNICIPALE D'ELECTRICITE DE HOMBOURG-HAUT;REME; ;Crée le 3 juin 1923; 6 RUE DES PENITENTS  57470 HOMBOURG HAUT   ;0;18/03/2008 00:00
REGIE MUNICIPALE D'ELECTRICITE ET DE TELEDISTRIBUTION (DE TALANGE);RMET; ;Préfecture de la Moselle le 11 juillet 1930; 10 RUE EMILE ZOLA BP 82 57525 TALANGE   ;0;17/01/2008 00:00
Régie municipale d'électricité et de télédistribution d'Amnéville;AMNE;77993624400044; ; RUELLE SAINT NICOLAS BP 40009 57360 AMNEVILLE LES THERMES   ;1;27/04/2010 00:00
REGIE MUNICIPALE DISTRIBUTION D'ELECTRICITE TELEDISTRIBUTION D'HAGONDANGE;RMDE; ;Crée le 24 juin 1926; 22 RUE DE LA FONTAINE BP 10108 57304 HAGONDANGE  CEDEX ;0;08/02/2008 00:00
Régie Réunion THD;RRTH;84243087800012;Saint-Denis;HOTEL DE REGION PIERRE LAGOURGUE AVENUE RENE CASSIN  97490 SAINT-DENIS   ;0;27/05/2019 00:00
Région Bourgogne-Franche-Comté;CRBO;20005372600028;Région Bourgogne; 4 SQUARE CASTAN CS 51857 25031 BESANCON  CEDEX ;1;30/10/2015 00:00
Remmedia;REMM;49261177700045;MARSEILLE; 5 COURS JEAN BALLARD  13001 MARSEILLE   ;1;21/05/2013 00:00
Rentinfo;RNTN;80270621800038;PARIS; 38 RUE DES MATHURINS  75008 PARIS   ;0;18/03/2022 00:00
Repro-tech;RPRT;40005725300033;Toulouse; 13 RUE ANTOINE LAVOISIER  31830 PLAISANCE DU TOUCH   ;0;19/12/2022 00:00
Resa-med;RSMD;92118199600015;Lyon; 129 RUE SERVIENT  69003 LYON   ;0;15/11/2022 00:00
Réseau concept;REPT;40232567400024;Dijon; 19 AVENUE ALBERT CAMUS  21000 DIJON   ;1;13/11/2014 00:00
Réseau service informatique distribution;RSID;45083932900015;Blois; 81B  ROUTE DE CHATEAU RENAULT  41000 BLOIS   ;0;21/07/2017 00:00
Réseaux administration services;REAS;39911582300037;NANTERRE; 32 BOULEVARD VICTOR HUGO  92115 CLICHY   ;0;14/11/2013 00:00
RESEAUX TELECOM;RETE;75129533800014;BOBIGNY; 19 RUE DES MARAIS  93100 MONTREUIL   ;0;22/03/2013 00:00
Resotel&com;RSTC;51938748400057;Créteil; 40 AVENUE DIDEROT  94100 SAINT-MAUR   ;0;21/11/2022 00:00
Retarus GmbH;RTRS;492034509;Paris; 17 RUE REAUMUR  75003 PARIS   ;0;07/09/2016 00:00
Retarus GmbH;RETA; ;Trade register Munich: 101134 - Tax number: DE811459192; ASCHAUER STRASSE 30  81549 MUENCHEN BAYERN  ALLEMAGNE;0;12/08/2021 00:00
RETN srl;RETN; ;https://www.registroimprese.it/; 2 VIA BORROMEI  20123 MILAN   ITALIE;0;20/01/2022 00:00
REUNICABLE;REUN;53137930300013;Saint Denis de la Réunion; 39 RUE PIERRE BROSSOLETTE  97420 LE PORT   ;0;19/04/2011 00:00
Revo-IP;RVIP;92135735600010;Nanterre; 7 RUE DE BELLE FEUILLE  92100 BOULOGNE-BILLANCOURT   ;0;17/11/2022 00:00
Revtelecom group;REVT;84897667600017;Paris; 14 AVENUE DE L OPERA  75001 PARIS   ;0;22/03/2019 00:00
Rezel;RZEL; ;W751121328 Préfecture de Police de Paris; 19 PLACE MARGUERITE PEREY  91120 PALAISEAU   ;0;22/08/2021 00:00
Rezzo;REZZ;82143663100039;Marseille; 141-143 AVENUE DU PRADO  13008 MARSEILLE 8   ;0;22/08/2016 00:00
RG0800;RG08;84408791600012;Nantes; 2 RUE DU PATIS DE LA BOUTEILLERIE  44120 VERTOU   ;1;25/11/2019 00:00
RGTN Corporation B.V.;RGTN; ;89502914 Pays-Bas; PARKWEG 24  6212 XN MAASTRICHT LIMBURG  PAYS-BAS;0;17/07/2023 00:00
Rhône Alpes repro informatique;RARI;53831386700037;Saint-Etienne; 19 RUE DE L'INNOVATION  42000 SAINT-ETIENNE   ;0;20/03/2017 00:00
RingCentral B.V.;RICE; ;Chambre de commerce N° 57008531VAT;BEZOEKADRES SCHIPHOL BOULEVARD 359   1118BJ SCHIPHOL AMSTERDAM   PAYS-BAS;0;16/10/2018 00:00
Ringcentral France;RCFR;85033214900028;Paris; 5 RUE SAINT-GEORGES  75009 PARIS   ;1;07/06/2019 00:00
Rkibi Soussi Mohamed;DOTC;81539043000016;Reims; 7 PLACE DU 13EME REGIMENT BP 110 51200 EPERNAY   ;1;06/12/2016 00:00
Rosace;ROSA;81846363000025;Strasbourg; 19 RUE ICARE  67960 ENTZHEIM   ;0;01/04/2016 00:00
Roundesk;EXTE;51389943500046;PARIS; 14 AVENUE KLEBER  75116 PARIS CEDEX 16   ;0;12/03/2013 00:00
Roverba CGS;ROVE;53131856600027;Lyon; 7 RUE DES MARAICHERS  69120 VAULX-EN-VELIN   ;0;05/05/2017 00:00
Roxxmedia partners;RXXM;90252169900014;Lyon; 4 RUE DE LA REPUBLIQUE  69001 LYON   ;1;01/12/2022 00:00
Runtel;RUNT;48833517500011;Nanterre; 20 BIS RUE LOUIS PHILIPPE  92200 NEUILLY-SUR-SEINE   ;0;25/05/2018 00:00
S telecom;STLC;82217217700013;BOBIGNY; 12 ALLEE HENRY VALENTIN  93190 LIVRY GARGAN   ;0;06/08/2021 00:00
S2mi SAS;S2MI;81876422700026;Melun;HAMEAU DE COSSIGNY 3 FERME DE COSSIGNY  77173 CHEVRY-COSSIGNY   ;0;12/07/2021 00:00
Sab system;SASY;52320717300015;Paris; 91 RUE LEGENDRE  75017 PARIS   ;1;04/04/2017 00:00
Sabio France;COVE;49386229600057;EVRY; 6 RUE LAFERRIERE  75009 PARIS   ;1;12/06/2013 00:00
Saclak network;SACL;51416876400017;RCS de Saintes; 28 RUE PIERRE LOTI  17200 ROYAN   ;0;12/10/2009 00:00
Safeo;SAFE;80015615000032;Nanterre;BAT. B1 191-195 AVENUE CHARLES DE GAULLE  92200 NEUILLY-SUR-SEINE FRANCE  ;1;23/03/2018 00:00
Saint Martin cable;STMA;35195521600020;Basse Terre;CONCORDIA 29 RUE MONT CARMEL  97150 SAINT MARTIN   ;1;21/05/2014 00:00
Salomelmar;SLML;49406456100025;Brest;PRAT PIP 110 RUE JEAN MONNET  29490 GUIPAVAS   ;0;18/04/2023 00:00
Samcloud;SAMC;82234161600016;Versailles; 1 ROUTE DES GATINES  78990 ELANCOURT   ;0;28/06/2022 00:00
SANEF;SANF;63205001900199;Reims;ECHANGEUR REIMS TINQUEUX  CS80001 51431 TINQUEUX  CEDEX 2 ;0;01/04/2003 00:00
Santx;SNTX;84029171000019;Créteil; 5 AVENUE DU GENERAL DE GAULLE  94160 SAINT MANDE   ;1;13/07/2022 00:00
Saône-et-Loire THD;DSHD;80863762300022;Nanterre;IMMEUBLE CRISCO UNO 3-5-7 AVENUE DE LA CRISTALLERIE  92310 SEVRES   ;0;31/10/2018 00:00
SAP France;SAPF;37982199400215;PARIS; 35 RUE D'ALSACE  92309 LEVALLOIS PERRET  CEDEX ;0;26/11/2012 00:00
SARL ATOO;ATOO;42064119300040; ;RUE SAINT AUBER 1 SQUARE SAINT JEAN  62000 ARRAS   ;0;06/12/2007 00:00
SARL Indy system;INDY;43830687000025;Montauban;ZAC ALBASUD 479 BOULEVARD DU DANEMARK  82000 MONTAUBAN   ;0;14/10/2019 00:00
SARL IPSET;IPSE;44267415600066;Romans;ZONE MATHIAS SUD 200 RUE DU ROYANS  26320 SAINT-MARCEL-LES-VALENCE   ;1;02/04/2010 00:00
SARL KYXAR;KYXA;41451777100021;Romans; 40 BOULEVARD DE LA LIBERATION  26100 ROMANS SUR ISERE   ;0;27/06/2011 00:00
Sarl LITEYEAR;LYEA;49310555500020;REIMS; 2 RUE SAINT HILAIRE  51100 REIMS   ;1;18/01/2021 00:00
SARL prelude connect;PRCO;53129544200010;Poitiers; 16 BOULEVARD DU GRAND CERF  86000 POITIERS   ;0;28/03/2019 00:00
Sarl unip Anjou Réseaux Systemes Informa;UARS;40024221000039;Lyon; 8 AVENUE DU 11 NOVEMNBRE 1918  69200 VENISSIEUX   ;0;06/07/2022 00:00
Sartel THD;LETR;84477051100013;Le Mans;CENTRE NOVAXIS II 2 ALLEE DES GEMEAUX  72100 LE MANS   ;1;11/01/2019 00:00
SAS Ataraxie;ATXI;41973417300026;Carcassonne; 80 ALLEE D'IENA  11000 CARCASSONNE   ;0;27/09/2018 00:00
SAS infocom sollies;SSIS;90788036300011;Toulon;CENTRE COMMERCIAL INTERMARCHE AVENUE DE L'ARLESIENNE  83210 SOLLIES PONT   ;0;21/09/2022 00:00
SAS ITFR France;ITFR;82349592400024;Bar-le-Duc; 8 RUE SAINT-CHRISTOPHE  55500 LIGNY-EN-BARROIS   ;0;08/10/2019 00:00
SAS ITS;SSTS;91009057000011;Toulon; 7 RUE GABRIEL PERI  83390 PIERREFEU-DU-VAR   ;0;21/09/2022 00:00
SAS SPM Telecom;SPMT;42358364000028; ; PLACE DU GENERAL DE GAULLE BP 4253 97500 ST PIERRE ET MIQUELON   ;1;21/06/2000 00:00
Sasety;SASE;89486301800012;VERSAILLES; 4 RUE DE BEYNES  78640 NEAUPHLE LE VIEUX   ;0;01/07/2021 00:00
Sateliot;SATL; ;ESB67334193; RAMBLA CATALUNYA 124  08008 BARCELONA   ESPAGNE;0;18/06/2021 00:00
Savoie Connectée;DSP3;83438927200024;Nanterre;IMMEUBLE CRISCO UNO 3-5-7 AVENUE DE LA CRISTALLERIE  92310 SEVRES   ;0;24/10/2018 00:00
Sayse;SAYS;80189172200010;Paris; 10 RUE DE LA PAIX  75002 PARIS   ;0;21/11/2017 00:00
SC Connect;SCCN;97872934100013;Grasse; 22 AVENUE CHARLES FREDERIC GERHARDT  06530 PEYMEINADE   ;0;14/09/2023 00:00
SCB Global Ltd;SCBG; ;8587801 Londres;CANARY WHARF 37 ONE CANADA SQUARE  E14 5AA LONDON   ROYAUME-UNI;0;23/06/2021 00:00
Scipio telecom;SCPT;94930224400023;Versailles; 29 AVENUE RENE DUGUAY-TROUIN  78960 VOISINS LE BRETONNEUX   ;0;11/04/2023 00:00
SCOPELEC;SCEC;78417602600119;TOULOUSE;ZI DE LA POMME RUE GAY LUSSAC BP 79 31250 REVEL   ;0;06/03/2013 00:00
SD NUM SAS;R144;44931646200042;Paris;IMPASSE PASSOIR 17 RUE DE NEUILLY  92110 CLICHY   ;1;17/02/2004 00:00
SDCI;SDCI;49934060200022;LYON; 4 RUE DU COLONEL CHAMBONNET  69500 BRON   ;1;26/02/2013 00:00
Sdcom-ip;SDCO;83812006100018;ARRAS; 9 RUE CLEMENT ADER  62710 COURRIERES   ;0;02/08/2021 00:00
Sdweb;SDWB;90154139100016;Fréjus; 143 RUE GROECINUS  83600 FREJUS   ;0;08/06/2022 00:00
SECURITY KEEPERS;SCKP;42258781600022;Paris; 4 RUE D ENGHIEN  75010 PARIS   ;0;11/12/2007 00:00
Seine-et-Marne THD;SMTH;80861021600026;Nanterre;IMMEUBLE CRISCO UNO 3-5-7 AVENUE DE LA CRISTALLERIE  92310 SEVRES   ;0;10/02/2015 00:00
SEM@FOR77;SEM@;49299026200031;Nanterre;IMMEUBLE CRISCO UNO 3-5-7 AVENUE DE LA CRISTALLERIE  92310 SEVRES   ;1;08/12/2006 00:00
Sema solutions;SEMA;82194007900014;Toulon;BUSINESS PARK DES PLAYES 540 BOULEVARD DE L EUROPE  83500 LA SEYNE-SUR-MER   ;0;17/11/2016 00:00
Semaphors;SEOR;40978179600068;Angers;ZI LES PAGANNES ST-PIERRE-MONTLIMART   49110 MONTREVAULT-SUR-EVRE   ;0;16/10/2018 00:00
Senetel;SENE;50004351800058;Le Mans; 4 RUE DE LA COULEE  72190 SAINT-PAVACE   ;0;06/02/2019 00:00
Senso telecom;SENT;49837947800031;Nanterre;IMMEUBLE LE MAGELLAN 105 RUE JULES GUESDE  92300 LEVALLOIS-PERRET   ;1;16/07/2007 00:00
Sepa telecom;SEPA;40252512500025;Lyon;SAINT ANDEOL LE CHATEAU 93 ROUTE DE BELLEVUE  69700 BEAUVALLON RHONE  ;0;04/11/2019 00:00
SEPTIER Jeoffrey;INPR;79100654700016;Melun; 1055 RUE DU MARECHAL JUIN  77000 VAUX LE PENIL   ;0;09/02/2022 00:00
Serenity network;SRNT;95350481800014;Paris; 10 RUE DE LA PAIX  75002 PARIS   ;0;22/06/2023 00:00
Serinya telecom;FRMT;75100519000010;ROUEN; 5 RUE JACQUES MONOD BP 559 76824 MONT SAINT AIGNAN   ;1;29/06/2012 00:00
SERVERTECK;SATE;45179551200032;Saverne; 10 RUE PRINCIPALE  67330 BOSSELSHAUSEN   ;0;22/10/2015 00:00
Service fibre entreprise;SFEN;82285671200036;Créteil; 12 RUE DE L'ARCADE  94220 CHARENTON-LE-PONT   ;0;13/11/2019 00:00
SERVICE NETWORK SECURITY;SENS;44236435200033;Montpellier;ZAC TOURNEZY I 70 RUE SIMONE SIGNORET  34070 MONTPELLIER   ;0;02/04/2010 00:00
Sesame telecom OU;SESA; ;14992040 Registre du commerce de Tartu, Estonie; 12 AHTRI TN  10151 TALLINN   ESTONIE;0;31/07/2021 00:00
Setera communications OY;STER; ;1586025-7 Espoo (Finland); 12 METSANNEIDONKUJA  FI-02130 ESPOO   FINLANDE;1;04/05/2019 00:00
Sewan;SEWA;45236315300043;Paris; 2 CITÉ PARADIS  75010 PARIS   ;1;24/10/2007 00:00
Seys Martin;MEOW;90344031190344;PARIS; 57 RUE DES MORILLONS BP 114 75015 PARIS   ;0;24/11/2021 00:00
SFR fibre SAS;UPCF;40046195000034;Meaux; 10 RUE ALBERT EINSTEIN  77437 CHAMPS-SUR-MARNE  CEDEX 2 ;1;17/06/1998 00:00
Shining;SHIN;45127297500017;Paris; 102 AVENUE DES CHAMPS ELYSEES  75008 PARIS   ;1;23/08/2016 00:00
SIBELIUS;SIBE;44303030900035;Versailles; 3 RUE DE PARIS  78560 LE PORT MARLY   ;0;23/06/2011 00:00
Sierra wireless France;SWFR;50923214600050;Toulouse; 308 ALLEE DU LAC  31670 LABEGE   ;0;01/08/2022 00:00
SIGNORET TELECOM;SIGN;31176459100039;NICE; 96 BOULEVARD DE CESSOLE  06100 NICE   ;0;23/08/2013 00:00
Simtel;SIMT;378613095;Le Mans;IMPASSE LEDUC LADEVEZE ZA LA FORET  72470 CHAMPAGNE   ;0;28/06/2016 00:00
Sinch Sweden AB;CLXN; ;556747-5495 STOCKHOLM;7° ETAGE LINDHAGENSGATAN 74  112 18 STOCKHOLM   SUEDE;1;09/08/2012 00:00
Sine qua non;SIQN;45193785800038;Paris; 13 RUE CHALIGNY  75012 PARIS   ;0;29/11/2018 00:00
Sippio corp.;SPPO; ;D15810666 Maryland, USA;STE 24 326 FIRST ST  MD 21403 ANNAPOLIS   ETATS-UNIS;1;29/11/2022 00:00
SIPS France;SPSF;87956382300019;Paris; 10 RUE DE LA PAIX  75002 PARIS   ;1;15/12/2021 00:00
Sivom d'Algrange-Nilvange;SIAN;24570060400011;Nilvange; SITE DE LA PAIX  57240 NILVANGE   ;0;04/12/2018 00:00
